benchmarkId,board,createdAt,sha256,md5,state,cycles,duration_ms,device,frequency_MHz,model_name,model_size,rom_n_macc,val_error,allocate-inputs,allocate-outputs,compression,optimization,layersInExternalFlash,layersInInternalFlash,useExternalFlash,useExternalRam,total_flash_bytes,total_ram_bytes,internal_flash,external_flash,internal_ram,external_ram,activations_bytes,weights_bytes,extra_flash_bytes,kernel_flash_bytes,extra_ram_bytes,kernel_ram_bytes,io_bytes
14e6b811-545a-4dbf-8624-6688de01c339,STM32H7S78-DK,Sat Jun 01 2024 18:25:01 GMT+0200 (Ora legale dell’Europa centrale),3799e7cdb3ec44beacaf47ef5c884111c919e51bb50b34ac836244b08d4b953b,1da33ca61bcdb56afb9a5f45db678e89,done,"26318636","43.86439362540841","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_25_128_quant,478804,13597156,0.0012097025755792856,true,true,,balanced,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias","",true,false,518569,105964,39765,478804,105964,0,91812,478804,,39765,,14152,0/0
8c959ca4-b64f-42f4-a906-b8365dd96784,NUCLEO-H743ZI2,Sat Jun 01 2024 18:25:02 GMT+0200 (Ora legale dell’Europa centrale),3799e7cdb3ec44beacaf47ef5c884111c919e51bb50b34ac836244b08d4b953b,1da33ca61bcdb56afb9a5f45db678e89,done,"24231070","50.48139678873122","stm32 family - 0x450 - STM32H743/53/50xx and STM32H745/55/47/57xx @480/240MHz::fpu,art_lat=4,core_icache,core_dcache",480,mobilenet_v1_0_25_128_quant,478804,13597156,0.0012097025755792856,true,true,,balanced,"","",false,false,518597,105916,518597,0,105916,0,91812,478804,,39793,,14104,0/0
16a28a3a-05c4-4e9a-ae71-a11acc5cdbf2,STM32H7B3I-DK,Sat Jun 01 2024 18:25:05 GMT+0200 (Ora legale dell’Europa centrale),3799e7cdb3ec44beacaf47ef5c884111c919e51bb50b34ac836244b08d4b953b,1da33ca61bcdb56afb9a5f45db678e89,done,"24174606","86.33787864819169","stm32 family - 0x0 - UNKNOW @280/140MHz::fpu,art_lat=3,core_icache,core_dcache",280,mobilenet_v1_0_25_128_quant,478804,13597156,0.0012097025755792856,true,true,,balanced,"","",false,false,518553,137548,518553,0,137548,0,123396,478804,,39749,,14152,0/0
ebc92808-4f40-4026-844c-7d28a2b1fd89,STM32F469I-DISCO,Sat Jun 01 2024 18:25:07 GMT+0200 (Ora legale dell’Europa centrale),3799e7cdb3ec44beacaf47ef5c884111c919e51bb50b34ac836244b08d4b953b,1da33ca61bcdb56afb9a5f45db678e89,done,"44521387","247.34104259312153","stm32 family - 0x434 - STM32F469 @180/180MHz::fpu,art_lat=5,art_prefetch,art_icache,art_dcache",180,mobilenet_v1_0_25_128_quant,478804,13597156,0.0012097025755792856,true,true,,balanced,"","",false,false,521355,130792,521355,0,130792,0,116688,478804,,42551,,14104,0/0
2143f712-fbf6-4afe-8f71-9815eb5fd7f2,STM32H7S78-DK,Sat Jun 01 2024 18:39:32 GMT+0200 (Ora legale dell’Europa centrale),3799e7cdb3ec44beacaf47ef5c884111c919e51bb50b34ac836244b08d4b953b,1da33ca61bcdb56afb9a5f45db678e89,done,"26429522","44.04920454323292","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_25_128_quant,478804,13597156,0.0012097025755792856,true,true,,ram,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias","",true,false,518541,99232,39737,478804,99232,0,85080,478804,,39737,,14152,0/0
d0395a96-13e9-4a75-8170-c9d349dcdc6d,NUCLEO-H743ZI2,Sat Jun 01 2024 18:39:33 GMT+0200 (Ora legale dell’Europa centrale),3799e7cdb3ec44beacaf47ef5c884111c919e51bb50b34ac836244b08d4b953b,1da33ca61bcdb56afb9a5f45db678e89,done,"24157633","50.328403785824776","stm32 family - 0x450 - STM32H743/53/50xx and STM32H745/55/47/57xx @480/240MHz::fpu,art_lat=4,core_icache,core_dcache",480,mobilenet_v1_0_25_128_quant,478804,13597156,0.0012097025755792856,true,true,,ram,"","",false,false,518505,99184,518505,0,99184,0,85080,478804,,39701,,14104,0/0
738b45f6-a830-4ae6-9f29-a8db0d8adc7c,STM32H7B3I-DK,Sat Jun 01 2024 18:39:34 GMT+0200 (Ora legale dell’Europa centrale),3799e7cdb3ec44beacaf47ef5c884111c919e51bb50b34ac836244b08d4b953b,1da33ca61bcdb56afb9a5f45db678e89,done,"25180310","89.92968185245991","stm32 family - 0x0 - UNKNOW @280/140MHz::fpu,art_lat=3,core_icache,core_dcache",280,mobilenet_v1_0_25_128_quant,478804,13597156,0.0012097025755792856,true,true,,ram,"","",false,false,518517,99184,518517,0,99184,0,85080,478804,,39713,,14104,0/0
5c5fdcd5-a6b9-4ad1-a99c-b374f9a263fc,STM32F469I-DISCO,Sat Jun 01 2024 18:39:37 GMT+0200 (Ora legale dell’Europa centrale),3799e7cdb3ec44beacaf47ef5c884111c919e51bb50b34ac836244b08d4b953b,1da33ca61bcdb56afb9a5f45db678e89,done,"44905387","249.47437526285648","stm32 family - 0x434 - STM32F469 @180/180MHz::fpu,art_lat=5,art_prefetch,art_icache,art_dcache",180,mobilenet_v1_0_25_128_quant,478804,13597156,0.0012097025755792856,true,true,,ram,"","",false,false,521555,99184,521555,0,99184,0,85080,478804,,42751,,14104,0/0
c1dfe827-eaa5-4927-916b-ce66cf140349,STM32H7S78-DK,Sat Jun 01 2024 23:03:12 GMT+0200 (Ora legale dell’Europa centrale),3799e7cdb3ec44beacaf47ef5c884111c919e51bb50b34ac836244b08d4b953b,1da33ca61bcdb56afb9a5f45db678e89,done,"26501189","44.16864984855056","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_25_128_quant,478804,13597156,0.0012097025755792856,true,true,,time,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias","",true,false,518545,126228,39741,478804,126228,0,112076,478804,,39741,,14152,0/0
ec370935-f26d-43a2-bfde-015533fdff59,NUCLEO-H743ZI2,Sat Jun 01 2024 23:03:13 GMT+0200 (Ora legale dell’Europa centrale),3799e7cdb3ec44beacaf47ef5c884111c919e51bb50b34ac836244b08d4b953b,1da33ca61bcdb56afb9a5f45db678e89,done,"24069273","50.14432012848556","stm32 family - 0x450 - STM32H743/53/50xx and STM32H745/55/47/57xx @480/240MHz::fpu,art_lat=4,core_icache,core_dcache",480,mobilenet_v1_0_25_128_quant,478804,13597156,0.0012097025755792856,true,true,,time,"","",false,false,518613,126120,518613,0,126120,0,112016,478804,,39809,,14104,0/0
